SCOPE,N_COMMON_LABELS,COMMON_COMPONENT_PAIR,GAUGE_SHIFT_B_MINUS_A_KMS,OFFSET_CORRELATION,OFFSET_SPEARMAN,OFFSET_SLOPE_B_ON_A,MEDIAN_ABS_DIFF_KMS,ROBUST_WIDTH_DIFF_KMS
ALL,483,0/0,-0.01440279760060359,0.9802602841058295,0.9673511013284354,1.0015687836666636,0.10691739245703857,0.18202276921579225
ALL_WITHIN_PROGRAM_DEMEANED,483,0/0,0.04320258748781447,0.9767216859137459,0.9411733445568091,0.9946536098299449,0.11942981262978397,0.18353108993795086
PROGRAM:BACKUP,83,0/0,-0.009780304060787337,0.9989223447628767,0.9963267704966206,0.99526593184453,0.048127511867605,0.08636966302875103
PROGRAM:BRIGHT,228,0/0,-0.036121742222001346,0.9546456511681239,0.9570699732807387,0.9921316052961939,0.09791408929640615,0.16389148579907575
PROGRAM:DARK,172,0/0,0.008618031314960462,0.8839717100324095,0.8404897847522421,1.0034029325801543,0.16202790860626987,0.25757176322117675
