FOLD,N_LABELS,N_TRAIN_PAIRS,N_EFFECTIVE_SOURCE_DRAWS,N_CONNECTED_COMPONENTS,LARGEST_COMPONENT_LABEL_FRACTION,LARGEST_COMPONENT_PAIR_FRACTION,LSQR_ISTOP,LSQR_ITERS,LSQR_ACOND,LSQR_R1NORM,LSQR_ARNORM,N_HOLDOUT_PAIRS,N_HOLDOUT_SAME_COMPONENT,N_HOLDOUT_CROSS_COMPONENT,BEFORE_RAW_WIDTH_KMS,AFTER_RAW_WIDTH_KMS,BEFORE_WIDTH_Z,AFTER_WIDTH_Z,BEFORE_TAIL_GT_3,AFTER_TAIL_GT_3,BEFORE_TAIL_GT_5,AFTER_TAIL_GT_5,BEFORE_MEAN_GAUSSIAN_PAIR_LOSS,AFTER_MEAN_GAUSSIAN_PAIR_LOSS,MACRO_WIDTH_BEFORE_Z,MACRO_WIDTH_AFTER_Z,MACRO_GAUSSIAN_PAIR_LOSS_BEFORE,MACRO_GAUSSIAN_PAIR_LOSS_AFTER,N_PROGRAM_NIGHT_PAIRS,N_GAIA_GROUP_PAIRS,GAIA_GROUP_PAIR_FRACTION
0,516,1334682,650960.0,2,0.9961240310077519,0.9981356318572334,2,174,759.88504587274,777.2350618304558,0.004390775226226776,348461,347144,1317,3.6607104901899774,3.159181798091048,1.02042723893421,0.884791680972864,0.051249625515636166,0.040648837370082735,0.021956306316687022,0.019599935473463462,4.391895807213925,4.192268801217921,0.9808640976514131,0.9160467643273885,4.097561050398453,4.017441587619062,1736682,1735435,0.9992819641131767
1,516,1336775,651633.0,2,0.9961240310077519,0.9981238370967432,2,179,800.8745776333409,777.6897872557951,0.003644419220770656,346290,344975,1315,3.6600225461099627,3.1623191182899473,1.0203059090457125,0.8883479885230277,0.051441408797738966,0.040495688093340095,0.02214943111819697,0.019717370823972753,4.399603971542992,4.202175768450449,0.9769220958961563,0.9132202632145807,4.085629999277014,4.005126297100335,1736682,1735435,0.9992819641131767
2,516,1336424,652006.0,2,0.9961240310077519,0.9981165812549571,2,178,793.0265471288836,778.2774627653617,0.0037921633423653837,346600,345281,1319,3.643617833605041,3.1556797022472898,1.0183449704298677,0.885923148002743,0.05088898607221365,0.04011804877766225,0.021874936645804432,0.019407381234414867,4.341392218497806,4.144628810672458,0.9687502418406959,0.9059283066500305,3.959640090087618,3.882508604849892,1736682,1735435,0.9992819641131767
3,519,1335438,651901.0,2,0.9961464354527938,0.9981242839402167,2,176,774.882401286695,778.3870980054752,0.0033203897241891535,348218,347056,1162,3.6594823074918406,3.1616437825782917,1.0202340253154125,0.8864388215644603,0.05166889493338251,0.040552533308745566,0.022221197731778157,0.019469480429671292,4.3308707176302885,4.132781211843966,0.9703560370049381,0.9036480229125622,3.976927703954804,3.896274647814035,1736682,1735435,0.9992819641131767
4,514,1335579,651721.0,2,0.9961089494163424,0.9981199921308876,2,156,633.519826494694,778.9619859151517,0.003691908808110755,347113,345623,1490,3.632677997282105,3.143909134378113,1.0151462264557471,0.8805662262949041,0.050965936873414094,0.0400002314660772,0.02204135720134366,0.019625430020571547,4.326978418142257,4.128694788683499,0.9673624982155449,0.9011120857550243,4.030174043500957,3.9537011574871563,1736682,1735435,0.9992819641131767
