FOLD,LARGEST_COMPONENT,N_HOLDOUT_GIANT_COMPONENT,RAW_WIDTH_PROGRAM_NIGHT_KMS,RAW_WIDTH_PROGRAM_NIGHT_PETAL_KMS,INCREMENTAL_PETAL_GAIN_KMS
0,0,341771,3.1467091924656474,3.0938627751129957,0.05284641735265172
1,0,339868,3.153735852190391,3.10416080134321,0.04957505084718106
2,0,339973,3.1451963656407154,3.0955589522981772,0.04963741334253813
3,0,341773,3.1521848560485655,3.092597703835181,0.05958715221338462
4,0,340278,3.1357910332410417,3.0807411248271714,0.05504990841387025
