EXPERIMENT_ID,SCOPE,N_NIGHTS,N_ADJACENT_PAIRS_1_7D,N_ADJACENT_PAIRS_EXACT_1D,PEARSON_R_1_7D,SPEARMAN_RHO_1_7D,PEARSON_R_EXACT_1D,SPEARMAN_RHO_EXACT_1D,OFFSET_PERMUTATIONS,OFFSET_PERM_ABS_EXCEED,OFFSET_PERM_P_RAW,OFFSET_PERM_P_HOLM,OFFSET_PERM_MAXT_EXCEED,OFFSET_PERM_P_MAXT,OFFSET_PERM_SPEARMAN_ABS_EXCEED,OFFSET_PERM_SPEARMAN_P_RAW,OFFSET_PERM_EXACT1D_ABS_EXCEED,OFFSET_PERM_EXACT1D_P_RAW,FULL_PIPELINE_CONTROLS,FULL_PIPELINE_ABS_EXCEED,FULL_PIPELINE_P_RAW,FULL_PIPELINE_P_HOLM,FULL_PIPELINE_MAXT_EXCEED,FULL_PIPELINE_P_MAXT,FULL_PIPELINE_SPEARMAN_ABS_EXCEED,FULL_PIPELINE_SPEARMAN_P_RAW,FULL_PIPELINE_EXACT1D_ABS_EXCEED,FULL_PIPELINE_EXACT1D_P_RAW,BOOTSTRAPS,BOOTSTRAP_PEARSON_Q025,BOOTSTRAP_PEARSON_MEDIAN,BOOTSTRAP_PEARSON_Q975,LOO_N,LOO_SAME_SIGN,LOO_PEARSON_MIN,LOO_PEARSON_MAX,MINIMUM_PAIRS_PASS,MINIMUM_EFFECT_PASS,CORRECTED_P_METHOD,CORRECTED_P_PASS,LOO_SIGN_PASS,SCOPE_PASS,E1_DECISION,N_INDIVIDUAL_PROGRAM_PASSES,POOLED_PASS
E1_temporal_persistence,BACKUP,87,81,51,-0.03693503644640541,0.005984643179765131,0.2306397629754886,0.15990950226244344,9999,7102,0.7103,0.7103,9542,0.9543,9602,0.9603,827,0.0828,100,70,0.7029702970297029,0.7029702970297029,96,0.9603960396039604,96,0.9603960396039604,10,0.10891089108910891,50,-0.04376422342243612,-0.03729363523044339,-0.033784397055771784,5,5,-0.03874862056283205,-0.03515386991387653,True,False,MAXT_ACROSS_PROGRAMS_AND_POOLED,False,True,False,pass,2,True
E1_temporal_persistence,BRIGHT,242,239,200,0.33759141739964144,0.37750870222566013,0.33073193544053947,0.35492087302182557,9999,0,0.0001,0.0004,23,0.0024,0,0.0001,0,0.0001,100,0,0.009900990099009901,0.039603960396039604,0,0.009900990099009901,0,0.009900990099009901,0,0.009900990099009901,50,0.3081046162670512,0.33199183390747744,0.35628286331927117,5,5,0.33546907647457136,0.3385297882955978,True,True,MAXT_ACROSS_PROGRAMS_AND_POOLED,True,True,True,pass,2,True
E1_temporal_persistence,DARK,190,182,148,0.6116203576747858,0.6450134414086954,0.6335630999052368,0.6579661431051651,9999,0,0.0001,0.0004,0,0.0001,0,0.0001,0,0.0001,100,0,0.009900990099009901,0.039603960396039604,0,0.009900990099009901,0,0.009900990099009901,0,0.009900990099009901,50,0.5216154909039835,0.5787078679620075,0.6236249764512843,5,5,0.6014223937936329,0.6210882333224937,True,True,MAXT_ACROSS_PROGRAMS_AND_POOLED,True,True,True,pass,2,True
E1_temporal_persistence,POOLED,519,502,399,0.3881508813714488,0.42558130236639663,0.43637956507271575,0.4528376846639211,9999,0,0.0001,0.0004,4,0.0005,0,0.0001,0,0.0001,100,0,0.009900990099009901,0.039603960396039604,0,0.009900990099009901,0,0.009900990099009901,0,0.009900990099009901,50,0.35193077956073165,0.37239380094352637,0.39897504453137494,5,5,0.38276229910143506,0.3917691203580308,True,True,MAXT_ACROSS_PROGRAMS_AND_POOLED,True,True,True,pass,2,True
