DIRECTION,N_PETALS,PEARSON_R,SPEARMAN_RHO
BRIGHT_A_DARK_B,10,0.8578805370917132,0.9030303030303028
BRIGHT_B_DARK_A,10,0.8247621310698579,0.9151515151515152
