SCOPE,FOLD,N_HOLDOUT_BASE_SUPPORTED,N_HOLDOUT_COMMON_SUPPORT,RAW_WIDTH_UNCORRECTED_KMS,RAW_WIDTH_PROGRAM_NIGHT_KMS,RAW_WIDTH_PROGRAM_NIGHT_PETAL_KMS,PROGRAM_NIGHT_GAIN_KMS,INCREMENTAL_PETAL_GAIN_KMS,N_NESTED_LABELS,N_NESTED_TRAIN_PAIRS,N_NESTED_COMPONENTS,ELAPSED_SECONDS
REAL,0,347144,342515,3.656359425357729,3.1497888701451453,3.092348382091382,0.5065705552125839,0.05744048805376334,4566,1322429,11,16.64882309999666
REAL,1,344975,340579,3.6561942078375465,3.156225158446726,3.1022618354902036,0.49996904939082043,0.0539633229565224,4579,1325065,11,16.821362699993188
REAL,2,345281,340686,3.6417893389630662,3.1487915650192044,3.0940728517260165,0.4929977739438618,0.05471871329318789,4563,1323995,11,16.937773099998594
REAL,3,347056,342487,3.657881623459616,3.155172000414743,3.0899922276314777,0.5027096230448729,0.06517977278326548,4570,1322536,11,16.50945760000468
REAL,4,345623,340989,3.631260847496014,3.138649281667109,3.079246333463998,0.49261156582890475,0.059402948203111094,4560,1323448,11,16.49835929999972
