PROGRAM_P,PROGRAM_Q,IS_PRIMARY_PAIR,R_P_A_Q_B,N_P_A_Q_B,EXCESS_P_A_Q_B,R_P_B_Q_A,N_P_B_Q_A,EXCESS_P_B_Q_A,SYMMETRIC_R0,SYMMETRIC_FISHER_Z,SYMMETRIC_EXCESS_R,MIN_SHARED_NIGHTS,BLOCK_NULL_P,N_NULL_VALID,NULL_EXCESS_Q975,BOOTSTRAP_R0_LOW_95,BOOTSTRAP_R0_HIGH_95,BOOTSTRAP_EXCESS_LOW_95,BOOTSTRAP_EXCESS_HIGH_95,SPEARMAN_P_A_Q_B,SPEARMAN_P_B_Q_A,SYMMETRIC_SPEARMAN_R,PASS_PRE_HOLM,BLOCK_NULL_P_HOLM,PASS
BRIGHT,DARK,True,0.0461908779372347,123,0.124597861510094,-0.0264642631351931,122,0.0769538689760496,0.0100284072882246,0.0100287434906512,0.10087553886762,122,0.1538,9999,0.1898388959482705,-0.2522967913006481,0.3929910962010332,-0.217218090549722,0.3846550678743011,0.0918084379151565,0.048440128080999,0.070248176554189,False,0.4614,False
BACKUP,BRIGHT,False,0.1331233250702635,59,0.1299037771552991,0.1037654996401579,60,0.102139337820878,0.1183403893980975,0.1188975088352086,0.1158987059866088,59,0.215694124712241,9990,0.3151841663169038,-0.1169430112404601,0.3887728524697749,-0.1367819828825935,0.4070151097990223,0.3318527177089422,0.2787996665740483,0.3053285128612095,False,0.4614,False
BACKUP,DARK,False,0.0769937221888198,34,-0.2193579442786412,0.0046327201499627,35,-0.3102982391336334,0.0402922488833798,0.0403140745034534,-0.2655498400780023,34,0.8697643979057592,9167,0.2484284410545096,-0.3026896650234371,0.4473942712414481,-0.3659030945915127,0.3752815423275671,0.1193277310924369,-0.0364145658263305,0.0404713297211676,False,0.8697643979057592,False
