SCOPE,FOLD,LABEL,PROGRAM,NIGHT,PETAL,OFFSET_KMS,COMPONENT,N_LABELS_FIT,N_TRAIN_PAIRS
REAL,0,BACKUP:20211125:P0,BACKUP,20211125,0,0.19669956917306936,0,4566,1322429
REAL,0,BACKUP:20211125:P1,BACKUP,20211125,1,0.12529119989807827,0,4566,1322429
REAL,0,BACKUP:20211125:P2,BACKUP,20211125,2,1.0311336147349675,0,4566,1322429
REAL,0,BACKUP:20211125:P3,BACKUP,20211125,3,0.0398944114486285,0,4566,1322429
REAL,0,BACKUP:20211125:P4,BACKUP,20211125,4,-0.42617372510543605,0,4566,1322429
REAL,0,BACKUP:20211125:P5,BACKUP,20211125,5,0.15247460788404504,0,4566,1322429
REAL,0,BACKUP:20211125:P6,BACKUP,20211125,6,-0.33116092282275644,0,4566,1322429
REAL,0,BACKUP:20211125:P7,BACKUP,20211125,7,-0.29685264025774905,0,4566,1322429
REAL,0,BACKUP:20211125:P8,BACKUP,20211125,8,0.30667081687485515,0,4566,1322429
REAL,0,BACKUP:20211125:P9,BACKUP,20211125,9,-0.7979769318277021,0,4566,1322429
REAL,0,BACKUP:20211206:P0,BACKUP,20211206,0,-0.20160951228268786,0,4566,1322429
REAL,0,BACKUP:20211206:P1,BACKUP,20211206,1,0.4841745341620499,0,4566,1322429
REAL,0,BACKUP:20211206:P2,BACKUP,20211206,2,0.5940198706227335,0,4566,1322429
REAL,0,BACKUP:20211206:P3,BACKUP,20211206,3,-0.12268884811986147,0,4566,1322429
REAL,0,BACKUP:20211206:P4,BACKUP,20211206,4,-0.24106953253268387,0,4566,1322429
REAL,0,BACKUP:20211206:P5,BACKUP,20211206,5,0.3872379528689945,0,4566,1322429
REAL,0,BACKUP:20211206:P6,BACKUP,20211206,6,-0.17292480429281543,0,4566,1322429
REAL,0,BACKUP:20211206:P7,BACKUP,20211206,7,-0.8184691957892911,0,4566,1322429
REAL,0,BACKUP:20211206:P8,BACKUP,20211206,8,0.5539075114616585,0,4566,1322429
REAL,0,BACKUP:20211206:P9,BACKUP,20211206,9,-0.46257797609809687,0,4566,1322429
REAL,0,BACKUP:20211207:P0,BACKUP,20211207,0,0.569059116990889,0,4566,1322429
REAL,0,BACKUP:20211207:P1,BACKUP,20211207,1,-0.13557917569048422,0,4566,1322429
REAL,0,BACKUP:20211207:P2,BACKUP,20211207,2,0.27016313553295135,0,4566,1322429
REAL,0,BACKUP:20211207:P3,BACKUP,20211207,3,-0.6312139005272529,0,4566,1322429
REAL,0,BACKUP:20211207:P4,BACKUP,20211207,4,0.4706957871830378,0,4566,1322429
REAL,0,BACKUP:20211207:P5,BACKUP,20211207,5,-0.1018128526028001,0,4566,1322429
REAL,0,BACKUP:20211207:P6,BACKUP,20211207,6,-0.2279945003575275,0,4566,1322429
REAL,0,BACKUP:20211207:P7,BACKUP,20211207,7,0.08923267491622588,0,4566,1322429
REAL,0,BACKUP:20211207:P8,BACKUP,20211207,8,-0.00706193951871871,0,4566,1322429
REAL,0,BACKUP:20211207:P9,BACKUP,20211207,9,-0.2954883459263205,0,4566,1322429
REAL,0,BACKUP:20211216:P0,BACKUP,20211216,0,0.8663947913213327,0,4566,1322429
REAL,0,BACKUP:20211216:P1,BACKUP,20211216,1,1.6725148503514675,0,4566,1322429
REAL,0,BACKUP:20211216:P2,BACKUP,20211216,2,-0.12817725807479022,0,4566,1322429
REAL,0,BACKUP:20211216:P3,BACKUP,20211216,3,-4.023756330719913,0,4566,1322429
REAL,0,BACKUP:20211216:P4,BACKUP,20211216,4,1.8141920626712582,0,4566,1322429
REAL,0,BACKUP:20211216:P5,BACKUP,20211216,5,1.042954779142325,0,4566,1322429
REAL,0,BACKUP:20211216:P6,BACKUP,20211216,6,-1.1046094292041704,0,4566,1322429
REAL,0,BACKUP:20211216:P7,BACKUP,20211216,7,-0.7008038178473722,0,4566,1322429
REAL,0,BACKUP:20211216:P8,BACKUP,20211216,8,-0.17492010915287662,0,4566,1322429
REAL,0,BACKUP:20211216:P9,BACKUP,20211216,9,0.7362104615127393,0,4566,1322429
REAL,0,BACKUP:20211217:P0,BACKUP,20211217,0,0.4488126892443457,0,4566,1322429
REAL,0,BACKUP:20211217:P1,BACKUP,20211217,1,0.2629698510728927,0,4566,1322429
REAL,0,BACKUP:20211217:P2,BACKUP,20211217,2,0.5842348973446901,0,4566,1322429
REAL,0,BACKUP:20211217:P3,BACKUP,20211217,3,-0.21444453297312133,0,4566,1322429
REAL,0,BACKUP:20211217:P4,BACKUP,20211217,4,-0.19769314952338451,0,4566,1322429
REAL,0,BACKUP:20211217:P5,BACKUP,20211217,5,0.1490573282769831,0,4566,1322429
REAL,0,BACKUP:20211217:P6,BACKUP,20211217,6,-0.6434200892506357,0,4566,1322429
REAL,0,BACKUP:20211217:P7,BACKUP,20211217,7,0.006639346344180161,0,4566,1322429
REAL,0,BACKUP:20211217:P8,BACKUP,20211217,8,0.010243996832506284,0,4566,1322429
REAL,0,BACKUP:20211217:P9,BACKUP,20211217,9,-0.4064003373684567,0,4566,1322429
REAL,0,BACKUP:20211218:P0,BACKUP,20211218,0,0.3937683018218248,0,4566,1322429
REAL,0,BACKUP:20211218:P1,BACKUP,20211218,1,-0.185036935670037,0,4566,1322429
REAL,0,BACKUP:20211218:P2,BACKUP,20211218,2,1.3435975547065722,0,4566,1322429
REAL,0,BACKUP:20211218:P3,BACKUP,20211218,3,-1.0503790538519746,0,4566,1322429
REAL,0,BACKUP:20211218:P4,BACKUP,20211218,4,-1.338296044274894,0,4566,1322429
REAL,0,BACKUP:20211218:P5,BACKUP,20211218,5,0.8631860777099724,0,4566,1322429
REAL,0,BACKUP:20211218:P6,BACKUP,20211218,6,-0.5026787042163118,0,4566,1322429
REAL,0,BACKUP:20211218:P7,BACKUP,20211218,7,0.0679750595584052,0,4566,1322429
REAL,0,BACKUP:20211218:P8,BACKUP,20211218,8,0.49018884196782636,0,4566,1322429
REAL,0,BACKUP:20211218:P9,BACKUP,20211218,9,-0.08232509775138333,0,4566,1322429
REAL,0,BACKUP:20211220:P0,BACKUP,20211220,0,0.6566629924463246,0,4566,1322429
REAL,0,BACKUP:20211220:P1,BACKUP,20211220,1,0.5148070326796614,0,4566,1322429
REAL,0,BACKUP:20211220:P2,BACKUP,20211220,2,1.7450563100697332,0,4566,1322429
REAL,0,BACKUP:20211220:P3,BACKUP,20211220,3,-0.5023915801742308,0,4566,1322429
REAL,0,BACKUP:20211220:P4,BACKUP,20211220,4,-2.2992131799133917,0,4566,1322429
REAL,0,BACKUP:20211220:P5,BACKUP,20211220,5,0.7286385250422097,0,4566,1322429
REAL,0,BACKUP:20211220:P6,BACKUP,20211220,6,-0.43949262272569306,0,4566,1322429
REAL,0,BACKUP:20211220:P7,BACKUP,20211220,7,-0.040395041198354985,0,4566,1322429
REAL,0,BACKUP:20211220:P8,BACKUP,20211220,8,0.17688455623324648,0,4566,1322429
REAL,0,BACKUP:20211220:P9,BACKUP,20211220,9,-0.5405569924595054,0,4566,1322429
REAL,0,BACKUP:20220101:P0,BACKUP,20220101,0,-0.48851372720812364,0,4566,1322429
REAL,0,BACKUP:20220101:P1,BACKUP,20220101,1,0.9752121807711259,0,4566,1322429
REAL,0,BACKUP:20220101:P2,BACKUP,20220101,2,-0.40711127307073774,0,4566,1322429
REAL,0,BACKUP:20220101:P3,BACKUP,20220101,3,0.21642489950947816,0,4566,1322429
REAL,0,BACKUP:20220101:P4,BACKUP,20220101,4,0.05568542463477364,0,4566,1322429
REAL,0,BACKUP:20220101:P5,BACKUP,20220101,5,0.6425869062445934,0,4566,1322429
REAL,0,BACKUP:20220101:P6,BACKUP,20220101,6,0.05635951756162758,0,4566,1322429
REAL,0,BACKUP:20220101:P7,BACKUP,20220101,7,1.3657315427166847,0,4566,1322429
REAL,0,BACKUP:20220101:P8,BACKUP,20220101,8,-0.2735210661782912,0,4566,1322429
REAL,0,BACKUP:20220101:P9,BACKUP,20220101,9,-2.1428544049811307,0,4566,1322429
REAL,0,BACKUP:20220107:P0,BACKUP,20220107,0,-1.7398684844018772,1,4566,1322429
REAL,0,BACKUP:20220107:P1,BACKUP,20220107,1,2.1966257573334866,2,4566,1322429
REAL,0,BACKUP:20220107:P2,BACKUP,20220107,2,-0.3526002843059779,3,4566,1322429
REAL,0,BACKUP:20220107:P3,BACKUP,20220107,3,-1.3250183332366712,4,4566,1322429
REAL,0,BACKUP:20220107:P4,BACKUP,20220107,4,-5.90966597027702,5,4566,1322429
REAL,0,BACKUP:20220107:P5,BACKUP,20220107,5,0.31125752430237685,6,4566,1322429
REAL,0,BACKUP:20220107:P6,BACKUP,20220107,6,1.3519422347714936,7,4566,1322429
REAL,0,BACKUP:20220107:P7,BACKUP,20220107,7,-0.8304167199128234,8,4566,1322429
REAL,0,BACKUP:20220107:P8,BACKUP,20220107,8,5.506262787458805,9,4566,1322429
REAL,0,BACKUP:20220107:P9,BACKUP,20220107,9,0.791481488268207,10,4566,1322429
REAL,0,BACKUP:20220109:P0,BACKUP,20220109,0,1.7398684844018772,1,4566,1322429
REAL,0,BACKUP:20220109:P1,BACKUP,20220109,1,-2.1966257573334866,2,4566,1322429
REAL,0,BACKUP:20220109:P2,BACKUP,20220109,2,0.3526002843059779,3,4566,1322429
REAL,0,BACKUP:20220109:P3,BACKUP,20220109,3,1.3250183332366712,4,4566,1322429
REAL,0,BACKUP:20220109:P4,BACKUP,20220109,4,5.90966597027702,5,4566,1322429
REAL,0,BACKUP:20220109:P5,BACKUP,20220109,5,-0.31125752430237685,6,4566,1322429
REAL,0,BACKUP:20220109:P6,BACKUP,20220109,6,-1.3519422347714936,7,4566,1322429
REAL,0,BACKUP:20220109:P7,BACKUP,20220109,7,0.8304167199128234,8,4566,1322429
REAL,0,BACKUP:20220109:P8,BACKUP,20220109,8,-5.506262787458805,9,4566,1322429
REAL,0,BACKUP:20220109:P9,BACKUP,20220109,9,-0.791481488268207,10,4566,1322429
REAL,0,BACKUP:20220111:P0,BACKUP,20220111,0,-0.28887320581094844,0,4566,1322429
REAL,0,BACKUP:20220111:P1,BACKUP,20220111,1,0.5931277310167435,0,4566,1322429
REAL,0,BACKUP:20220111:P2,BACKUP,20220111,2,-0.03350308549108156,0,4566,1322429
REAL,0,BACKUP:20220111:P3,BACKUP,20220111,3,-0.3577345194561241,0,4566,1322429
REAL,0,BACKUP:20220111:P4,BACKUP,20220111,4,1.373243434152407,0,4566,1322429
REAL,0,BACKUP:20220111:P5,BACKUP,20220111,5,0.027601778147787553,0,4566,1322429
REAL,0,BACKUP:20220111:P6,BACKUP,20220111,6,-0.7518542840443463,0,4566,1322429
REAL,0,BACKUP:20220111:P7,BACKUP,20220111,7,-0.0378044971039358,0,4566,1322429
REAL,0,BACKUP:20220111:P8,BACKUP,20220111,8,-0.2691514251240378,0,4566,1322429
REAL,0,BACKUP:20220111:P9,BACKUP,20220111,9,-0.255051926286464,0,4566,1322429
REAL,0,BACKUP:20220112:P0,BACKUP,20220112,0,1.7115038204920794,0,4566,1322429
REAL,0,BACKUP:20220112:P1,BACKUP,20220112,1,0.13493663571661227,0,4566,1322429
REAL,0,BACKUP:20220112:P2,BACKUP,20220112,2,1.7743135109930084,0,4566,1322429
REAL,0,BACKUP:20220112:P3,BACKUP,20220112,3,1.787401690097096,0,4566,1322429
REAL,0,BACKUP:20220112:P4,BACKUP,20220112,4,-4.487490017080006,0,4566,1322429
REAL,0,BACKUP:20220112:P5,BACKUP,20220112,5,0.6943533650892796,0,4566,1322429
REAL,0,BACKUP:20220112:P6,BACKUP,20220112,6,0.18906320449464276,0,4566,1322429
REAL,0,BACKUP:20220112:P7,BACKUP,20220112,7,-1.8461669235397933,0,4566,1322429
REAL,0,BACKUP:20220112:P8,BACKUP,20220112,8,0.5494527181884646,0,4566,1322429
REAL,0,BACKUP:20220112:P9,BACKUP,20220112,9,-0.507368004451384,0,4566,1322429
REAL,0,BACKUP:20220113:P0,BACKUP,20220113,0,0.15866737955649188,0,4566,1322429
REAL,0,BACKUP:20220113:P1,BACKUP,20220113,1,-1.046880545681168,0,4566,1322429
REAL,0,BACKUP:20220113:P2,BACKUP,20220113,2,0.3958011919200541,0,4566,1322429
REAL,0,BACKUP:20220113:P3,BACKUP,20220113,3,2.5138931843515473,0,4566,1322429
REAL,0,BACKUP:20220113:P4,BACKUP,20220113,4,0.18544332228415333,0,4566,1322429
REAL,0,BACKUP:20220113:P5,BACKUP,20220113,5,-0.46918274224070705,0,4566,1322429
REAL,0,BACKUP:20220113:P6,BACKUP,20220113,6,-0.846896597502695,0,4566,1322429
REAL,0,BACKUP:20220113:P7,BACKUP,20220113,7,-0.7692779774018753,0,4566,1322429
REAL,0,BACKUP:20220113:P8,BACKUP,20220113,8,-0.4096991951059192,0,4566,1322429
REAL,0,BACKUP:20220113:P9,BACKUP,20220113,9,0.2881319798201176,0,4566,1322429
REAL,0,BACKUP:20220114:P0,BACKUP,20220114,0,0.6112080836345765,0,4566,1322429
REAL,0,BACKUP:20220114:P1,BACKUP,20220114,1,0.8436858060226207,0,4566,1322429
REAL,0,BACKUP:20220114:P2,BACKUP,20220114,2,1.448721612579625,0,4566,1322429
REAL,0,BACKUP:20220114:P3,BACKUP,20220114,3,-2.183521583361412,0,4566,1322429
REAL,0,BACKUP:20220114:P4,BACKUP,20220114,4,-1.9645995562475762,0,4566,1322429
REAL,0,BACKUP:20220114:P5,BACKUP,20220114,5,0.432728092846143,0,4566,1322429
REAL,0,BACKUP:20220114:P6,BACKUP,20220114,6,-0.16096923971958005,0,4566,1322429
REAL,0,BACKUP:20220114:P7,BACKUP,20220114,7,0.17634904298346102,0,4566,1322429
REAL,0,BACKUP:20220114:P8,BACKUP,20220114,8,0.7720674603337188,0,4566,1322429
REAL,0,BACKUP:20220114:P9,BACKUP,20220114,9,0.02433028092842332,0,4566,1322429
REAL,0,BACKUP:20220121:P0,BACKUP,20220121,0,-0.29993529287066373,0,4566,1322429
REAL,0,BACKUP:20220121:P1,BACKUP,20220121,1,-0.4558144926005468,0,4566,1322429
REAL,0,BACKUP:20220121:P2,BACKUP,20220121,2,-0.10452183839879166,0,4566,1322429
REAL,0,BACKUP:20220121:P3,BACKUP,20220121,3,0.10265898367365081,0,4566,1322429
REAL,0,BACKUP:20220121:P4,BACKUP,20220121,4,0.5611416061782003,0,4566,1322429
REAL,0,BACKUP:20220121:P5,BACKUP,20220121,5,0.4191313215377753,0,4566,1322429
REAL,0,BACKUP:20220121:P6,BACKUP,20220121,6,0.24484440371453964,0,4566,1322429
REAL,0,BACKUP:20220121:P7,BACKUP,20220121,7,-0.4264628823214593,0,4566,1322429
REAL,0,BACKUP:20220121:P8,BACKUP,20220121,8,0.443764596055901,0,4566,1322429
REAL,0,BACKUP:20220121:P9,BACKUP,20220121,9,-0.48480640496860555,0,4566,1322429
REAL,0,BACKUP:20220122:P0,BACKUP,20220122,0,-0.12121193525926179,0,4566,1322429
REAL,0,BACKUP:20220122:P1,BACKUP,20220122,1,0.09538980678242293,0,4566,1322429
REAL,0,BACKUP:20220122:P2,BACKUP,20220122,2,0.24593972923520485,0,4566,1322429
REAL,0,BACKUP:20220122:P3,BACKUP,20220122,3,-0.055156021460151645,0,4566,1322429
REAL,0,BACKUP:20220122:P4,BACKUP,20220122,4,1.166614534168382,0,4566,1322429
REAL,0,BACKUP:20220122:P5,BACKUP,20220122,5,0.08464428020785997,0,4566,1322429
REAL,0,BACKUP:20220122:P6,BACKUP,20220122,6,-0.5911421342017724,0,4566,1322429
REAL,0,BACKUP:20220122:P7,BACKUP,20220122,7,-0.35999444650978374,0,4566,1322429
REAL,0,BACKUP:20220122:P8,BACKUP,20220122,8,-0.5294244019969336,0,4566,1322429
REAL,0,BACKUP:20220122:P9,BACKUP,20220122,9,0.06434058903403354,0,4566,1322429
REAL,0,BACKUP:20220123:P0,BACKUP,20220123,0,-0.05593102539461643,0,4566,1322429
REAL,0,BACKUP:20220123:P1,BACKUP,20220123,1,2.000617378959713,0,4566,1322429
REAL,0,BACKUP:20220123:P2,BACKUP,20220123,2,0.16973330406193288,0,4566,1322429
REAL,0,BACKUP:20220123:P3,BACKUP,20220123,3,-0.8410567804265647,0,4566,1322429
REAL,0,BACKUP:20220123:P4,BACKUP,20220123,4,-1.0431029071026876,0,4566,1322429
REAL,0,BACKUP:20220123:P5,BACKUP,20220123,5,1.4631463051546372,0,4566,1322429
REAL,0,BACKUP:20220123:P6,BACKUP,20220123,6,-0.3018565381787837,0,4566,1322429
REAL,0,BACKUP:20220123:P7,BACKUP,20220123,7,0.2849461596774422,0,4566,1322429
REAL,0,BACKUP:20220123:P8,BACKUP,20220123,8,-0.11042056022028396,0,4566,1322429
REAL,0,BACKUP:20220123:P9,BACKUP,20220123,9,-1.566075336530789,0,4566,1322429
REAL,0,BACKUP:20220126:P0,BACKUP,20220126,0,0.9048868283531388,0,4566,1322429
REAL,0,BACKUP:20220126:P1,BACKUP,20220126,1,4.061681427033728,0,4566,1322429
REAL,0,BACKUP:20220126:P2,BACKUP,20220126,2,-2.721517287261644,0,4566,1322429
REAL,0,BACKUP:20220126:P3,BACKUP,20220126,3,-4.646660729524916,0,4566,1322429
REAL,0,BACKUP:20220126:P4,BACKUP,20220126,4,1.2163649073761384,0,4566,1322429
REAL,0,BACKUP:20220126:P5,BACKUP,20220126,5,1.9726365577610803,0,4566,1322429
REAL,0,BACKUP:20220126:P6,BACKUP,20220126,6,-0.6068149247286387,0,4566,1322429
REAL,0,BACKUP:20220126:P7,BACKUP,20220126,7,0.3499288501729668,0,4566,1322429
REAL,0,BACKUP:20220126:P8,BACKUP,20220126,8,-0.2704817197621663,0,4566,1322429
REAL,0,BACKUP:20220126:P9,BACKUP,20220126,9,-0.2600239094196868,0,4566,1322429
REAL,0,BACKUP:20220127:P0,BACKUP,20220127,0,-0.16763466403365035,0,4566,1322429
REAL,0,BACKUP:20220127:P1,BACKUP,20220127,1,0.0931648384044572,0,4566,1322429
REAL,0,BACKUP:20220127:P2,BACKUP,20220127,2,0.7902897262870688,0,4566,1322429
REAL,0,BACKUP:20220127:P3,BACKUP,20220127,3,-0.22379308846582968,0,4566,1322429
REAL,0,BACKUP:20220127:P4,BACKUP,20220127,4,0.7323341955252113,0,4566,1322429
REAL,0,BACKUP:20220127:P5,BACKUP,20220127,5,0.3935632039971204,0,4566,1322429
REAL,0,BACKUP:20220127:P6,BACKUP,20220127,6,-0.005921957899806235,0,4566,1322429
REAL,0,BACKUP:20220127:P7,BACKUP,20220127,7,-0.30483172802762293,0,4566,1322429
REAL,0,BACKUP:20220127:P8,BACKUP,20220127,8,-0.9161798075983818,0,4566,1322429
REAL,0,BACKUP:20220127:P9,BACKUP,20220127,9,-0.39099071818856646,0,4566,1322429
REAL,0,BACKUP:20220128:P0,BACKUP,20220128,0,-0.20994580577793617,0,4566,1322429
REAL,0,BACKUP:20220128:P1,BACKUP,20220128,1,1.0265278935429745,0,4566,1322429
REAL,0,BACKUP:20220128:P2,BACKUP,20220128,2,0.3024075706358281,0,4566,1322429
REAL,0,BACKUP:20220128:P3,BACKUP,20220128,3,0.8755127538102762,0,4566,1322429
REAL,0,BACKUP:20220128:P4,BACKUP,20220128,4,-0.1068416165624949,0,4566,1322429
