EXPERIMENT_ID,PROGRAM,N_NIGHTS,MIN_SEGMENT_N,CHANGE_AFTER_NIGHT,CHANGE_NEXT_NIGHT,PRE_MEAN_KMS,POST_MEAN_KMS,DELTA_POST_MINUS_PRE_KMS,CUSUM_SCORE,OFFSET_PERMUTATIONS,OFFSET_PERM_EXCEED,OFFSET_PERM_P_RAW,OFFSET_PERM_MAXT_EXCEED,OFFSET_PERM_P_MAXT,FULL_PIPELINE_CONTROLS,FULL_PIPELINE_EXCEED,FULL_PIPELINE_P_RAW,FULL_PIPELINE_MAXT_EXCEED,FULL_PIPELINE_P_MAXT,BOOTSTRAPS,BOOTSTRAP_SCORE_Q025,BOOTSTRAP_SCORE_MEDIAN,BOOTSTRAP_SCORE_Q975,BOOTSTRAP_DELTA_Q025_KMS,BOOTSTRAP_DELTA_MEDIAN_KMS,BOOTSTRAP_DELTA_Q975_KMS,BOOTSTRAP_MODAL_CHANGE_AFTER,BOOTSTRAP_MODAL_CHANGE_NEXT,BOOTSTRAP_MODAL_SPLIT_COUNT
E1_temporal_persistence,BACKUP,87,14,2022-01-22,2022-01-23,1.4173482596817937,-0.26147770519049424,-1.6788259648722879,2.6717052511513066,9999,578,0.0579,2083,0.2084,100,7,0.07920792079207921,25,0.25742574257425743,50,2.641816326799119,2.6913083142726038,2.734911934176933,-1.7204515847480255,-1.6910130535646632,-1.6620710014764855,2022-01-22,2022-01-23,50
E1_temporal_persistence,BRIGHT,242,37,2021-10-09,2021-10-14,0.510435454599008,-0.13655831351363096,-0.646993768112639,5.548585952651719,9999,0,0.0001,0,0.0001,100,0,0.009900990099009901,0,0.009900990099009901,50,5.342393471195785,5.596955699006594,5.7767404227158545,-0.6793976299054882,-0.6502084359603353,-0.6177932728522685,2021-10-09,2021-10-14,40
E1_temporal_persistence,DARK,190,29,2022-01-31,2022-02-02,0.30097855064559437,-0.33935775882241476,-0.6403363094680091,6.942476580860489,9999,0,0.0001,0,0.0001,100,0,0.009900990099009901,0,0.009900990099009901,50,6.427832456998837,6.7886869065710425,7.125204263629327,-0.6949085356175773,-0.6448931455576403,-0.6143141655654876,2022-01-31,2022-02-02,24
